hexagon_id,o_score_pt,o_score_car,CDI,population,geometry
0,4358.442800770163,4027.8697408212392,-0.03941816600674809,1241.3451793943912,"POLYGON ((2.403495062046585 48.831518513682965, 2.4015023436679637 48.83054823755677, 2.401834069936581 48.828781224568615, 2.4041583749498225 48.82798451495675, 2.40615099887554 48.828954774732466, 2.4058194122398096 48.83072176046939, 2.403495062046585 48.831518513682965))"
1,4502.030024178913,4083.0534009072435,-0.04880285985892614,3166.0488163196683,"POLYGON ((2.2945110779524667 48.832430885869606, 2.292517932859421 48.83145822215989, 2.292853214212037 48.829690579499335, 2.2951815008398277 48.82889562759743, 2.297174551802796 48.82986827477246, 2.2968394102669407 48.83163589038295, 2.2945110779524667 48.832430885869606))"
2,4844.301356589961,4013.273121728759,-0.09382119641165484,3192.9697498118685,"POLYGON ((2.384558985022657 48.897509959108795, 2.3825640153662677 48.896540352981276, 2.382896722200494 48.89477391303051, 2.385224258719768 48.89397710638113, 2.387219133772864 48.89494669613463, 2.386886566908866 48.896713108910404, 2.384558985022657 48.897509959108795))"
3,2504.4698434851507,3285.554908978768,0.1349018525631052,90.49728642197577,"POLYGON ((2.4493114765566024 48.83068099512681, 2.44731895607349 48.829711715393714, 2.4476491858827933 48.8279449645051, 2.449971796621321 48.827147520684306, 2.4519642225180482 48.82811678414443, 2.45163413226152 48.82988350769718, 2.4493114765566024 48.83068099512681))"
4,5304.618035703429,4380.026872994676,-0.09546980518390996,1422.394635297598,"POLYGON ((2.3041094422576336 48.86221345948782, 2.302115348001734 48.861241497792435, 2.30245048195889 48.85947422011542, 2.3047795702317577 48.85867893118178, 2.3067735702358285 48.85965087636254, 2.3064385762177477 48.86141812699044, 2.3041094422576336 48.86221345948782))"
5,6208.576972612805,4273.953304430908,-0.18455693587822383,2992.3084894128015,"POLYGON ((2.3978520002897636 48.84998430339362, 2.395858651205107 48.84901420694418, 2.396190662842832 48.84724735173778, 2.3985158838363505 48.84645062020894, 2.400509138427106 48.84742070030076, 2.400177266517131 48.84918752827789, 2.3978520002897636 48.84998430339362))"
6,5932.90928651977,4562.516015859654,-0.13057053251090586,2156.616481749205,"POLYGON ((2.3729353182160398 48.84364037685319, 2.370942087166535 48.84266962656503, 2.3712748755398945 48.840902559106475, 2.3736007552220033 48.84010626912238, 2.37559389187178 48.84107700300993, 2.37526124323804 48.84284404328103, 2.3729353182160398 48.84364037685319))"
7,5890.626113950024,4352.706197762454,-0.1501386335410669,959.4659513501983,"POLYGON ((2.303757877587584 48.87555554106365, 2.3017633410455565 48.87458379146794, 2.302098560596083 48.87281665045835, 2.304428176686001 48.872021286083424, 2.306422618935552 48.87299301916562, 2.3060875393865827 48.87476013313512, 2.303757877587584 48.87555554106365))"
8,6425.852481452474,4611.027309003453,-0.1644328113474951,2072.1949481385273,"POLYGON ((2.327037317559241 48.87917320856327, 2.3250427452204043 48.8782020318169, 2.325377225893614 48.8764350642619, 2.3277061389244516 48.87563930053285, 2.329700616889631 48.876610460805544, 2.329366276196507 48.87837740127984, 2.327037317559241 48.87917320856327))"
9,5530.85240321934,4611.164486795797,-0.09068096872614957,1808.326299083544,"POLYGON ((2.355657135910676 48.84294141209517, 2.35366386482884 48.84197026937204, 2.353997212223984 48.84020309324203, 2.3563236909349037 48.83940708699014, 2.358316867670766 48.84037821328335, 2.357983660040556 48.84214536225724, 2.355657135910676 48.84294141209517))"
10,6066.669013356818,4640.957597770378,-0.1331491531563926,4799.7157747612555,"POLYGON ((2.3785804807906223 48.85989103111624, 2.3765867335018367 48.858920672977085, 2.3769194275885526 48.85715380708244, 2.3792457291573568 48.85635732651345, 2.381239381978672 48.85732766826364, 2.380906827697531 48.859094506970635, 2.3785804807906223 48.85989103111624))"
11,3878.588090570925,3650.5872972126235,-0.030282306044861675,170.99731505636134,"POLYGON ((2.430064408476631 48.840593219331865, 2.4280714888788597 48.83962367844217, 2.428402399725948 48.83785691608702, 2.430726090538983 48.83705972191481, 2.4327189155764275 48.838029246500234, 2.432388144360047 48.839795981561025, 2.430064408476631 48.840593219331865))"
12,5958.441981859166,4517.554912655587,-0.1375417617733382,970.6755919287394,"POLYGON ((2.302098560596083 48.87281665045835, 2.3001041086519503 48.87184481914384, 2.300439367077729 48.870077639972166, 2.302768937455023 48.86928231915263, 2.304763295120238 48.8702541339505, 2.304428176686001 48.872021286083424, 2.302098560596083 48.87281665045835))"
